Execute:
> select id_catalogo_valor, id_catalogo, codigo , nombre , descripcion, activo from sipro_desa.catalogo_valor where id_catalogo = 3

+ ---------------------- + ---------------- + ----------- + ----------- + ---------------- + ----------- +
| id_catalogo_valor      | id_catalogo      | codigo      | nombre      | descripcion      | activo      |
| 54                     | 3                | INGENIO AZ  | INGENIO AZUCARERO DEL NORTE | INGENIO AZUCARERO DEL NORTE | 1           |
| 26                     | 3                | INVERSANCA  | INVERSANCARLOS | INVERSANCARLOS   | 1           |
| 32                     | 3                | LA CAMPINA  | LA CAMPINA FORESTAL STRONGFOREST S A | LA CAMPINA FORESTAL STRONGFOREST S A | 1           |
| 38                     | 3                | LA COLINA   | LA COLINA FORESTAL (HILLFOREST) S.A. | LA COLINA FORESTAL (HILLFOREST) S.A. | 1           |
| 43                     | 3                | LA CUMBRE   | LA CUMBRE FORESTAL PEAKFOREST SA | LA CUMBRE FORESTAL PEAKFOREST SA | 1           |
| 20                     | 3                | LA ENSENAD  | LA ENSENADA FORESTAL COVEFORESTS SA | LA ENSENADA FORESTAL COVEFORESTS SA | 1           |
| 44                     | 3                | LA ESTANCI  | LA ESTANCIA FORESTAL FORESTEAD S A | LA ESTANCIA FORESTAL FORESTEAD S A | 1           |
| 42                     | 3                | LA RESERVA  | LA RESERVA FORESTAL S.A.(REFOREST) | LA RESERVA FORESTAL S.A.(REFOREST) | 1           |
| 52                     | 3                | LA SABANA   | LA SABANA FORESTAL (PLAINFOREST) S.A. | LA SABANA FORESTAL (PLAINFOREST) S.A. | 1           |
| 53                     | 3                | LA VANGUAR  | LA VANGUARDIA FORESTAL | LA VANGUARDIA FORESTAL | 1           |
| 83                     | 3                | LEGACYPRIM  | FONDO DE INVERSION COTIZADO LEGACYPRIME | FONDO DE INVERSION COTIZADO LEGACYPRIME | 1           |
| 37                     | 3                | MERIZA      | MERIZA      | MERIZA           | 1           |
| 66                     | 3                | MULTI-BG S  | MULTI-BG S.A. CORPORACION | MULTI-BG S.A. CORPORACION | 1           |
| 33                     | 3                | MUTUALISTA  | MUTUALISTA PICHINCHA | MUTUALISTA PICHINCHA | 1           |
| 58                     | 3                | NATLUK SA   | NATLUK SA   | NATLUK SA        | 1           |
| 89                     | 3                | OCCIPLAZA   | FONDO DE INVERSION COLECT OCCIPLAZA 06 | FONDO DE INVERSION COLECT OCCIPLAZA 06 | 1           |
| 45                     | 3                | PATHFOREST  | PATHFOREST S.A. EL SENDERO FORESTAL | PATHFOREST S.A. EL SENDERO FORESTAL | 1           |
| 161                    | 3                | PITO        | COLORITO    | COLORITO         | 0           |
| 23                     | 3                | QUITOLINDO  | QUITOLINDO QUITO LINDO SA | QUITOLINDO QUITO LINDO SA | 1           |
| 87                     | 3                | REIT 03     | FONDO DE INVERSION COLECTIVO REIT 03 | FONDO DE INVERSION COLECTIVO REIT 03 | 1           |
| 36                     | 3                | RETRATOREC  | RETRATOREC S.A. | RETRATOREC S.A.  | 1           |
| 48                     | 3                | RIO CONGO   | RIO CONGO FORESTAL | RIO CONGO FORESTAL | 1           |
| 17                     | 3                | RIO GRANDE  | RIO GRANDE FORESTAL RIVERFOREST SA | RIO GRANDE FORESTAL RIVERFOREST SA | 1           |
| 82                     | 3                | ROSADO GYE  | FONDO DE INV COLECTIVO ROSADO GYE 1 | FONDO DE INV COLECTIVO ROSADO GYE 1 | 1           |
| 25                     | 3                | SAN CARLOS  | SAN CARLOS SOC. AGR. IND. | SAN CARLOS SOC. AGR. IND. | 1           |
| 68                     | 3                | SIEMPREVER  | SIEMPREVERDE SA | SIEMPREVERDE SA  | 1           |
| 49                     | 3                | SUPERDEPOR  | SUPERDEPORTE S.A. | SUPERDEPORTE S.A. | 1           |
| 55                     | 3                | SURPAPELCO  | SURPAPELCORP S A | SURPAPELCORP S A | 1           |
| 70                     | 3                | TECAFORTUN  | TECAFORTUNA SA | TECAFORTUNA SA   | 1           |
| 65                     | 3                | TECATEAK S  | TECATEAK SA | TECATEAK SA      | 1           |
| 51                     | 3                | UNACEM ECU  | UNACEM ECUADOR SA | UNACEM ECUADOR SA | 1           |
| 39                     | 3                | VALLE GRAN  | VALLE GRANDE FORESTAL | VALLE GRANDE FORESTAL | 1           |
| 85                     | 3                | VERDE 01    | FONDO DE INV COLEC PATRIMONIO  VERDE 01 | FONDO DE INV COLEC PATRIMONIO  VERDE 01 | 1           |
| 76                     | 3                | VERDETEKA   | VERDETEKA   | VERDETEKA        | 1           |
| NULL                   | NULL             | NULL        | NULL        | NULL             | NULL        |
+ ---------------------- + ---------------- + ----------- + ----------- + ---------------- + ----------- +
74 rows
